Title,Methods,Group,
Academic Works and Family,"qualitative analysis, text analysis",Pure Statistical,
Survey Length and Monetary Incentives,"survey experiment, descriptive statistics",Pure Statistical,
Health Disparities from Carbon Capture Policies,"high-performance computing, integrated assessment model",Computational/AI,Rater 1
Steps per Day and Mortality,"NHANES data, regression",Pure Statistical,
Generative AI in Teaching,"survey, factor analysis, linear regression",Pure Statistical,
Tie Formation in Online Queer Communities,"text-as-data, network inference",Computational/AI,
Sentiment vs. Stars,"transfer learning, RoBERTa, Vader",Computational/AI,
STM Preprocessing Impact,structural topic modeling,Computational/AI,
Framing of Families in News Media,"word embeddings, topic modeling",Computational/AI,
Regression Comparisons,"lasso, stepwise, penalized regression",Pure Statistical,
Epistemological Leanings,"text classification, deep learning",Computational/AI,
Fake News Detection with GNNs,graph neural networks,Computational/AI,
Acceptance Probability Updates,"BERT, ML models",Computational/AI,
Childhood Trauma and PMS,mediation analysis,Pure Statistical,
YouTube Topic Modeling,unsupervised topic modeling,Computational/AI,
Latin BERT Tokenization,"pretrained BERT, morphologically-guided tokenization",Computational/AI,
Head Start and Politics,"difference-in-differences, event study",Pure Statistical,
Authorship of Greek Tragedy,"statistical classifiers, GLMM",Pure Statistical,
Algorithmic Bias in Criminal Justice,ML risk models,Computational/AI,
Gender Bias Text,text analysis,Computational/AI,
Lawyers of the Right,"network data, ERGM",Computational/AI,
Political Bias on X,"algorithmic audit, regression",Computational/AI,
Facebook Misinformation,"quasi-experiment, regression",Pure Statistical,
